"","X.1","X","N","species","family","Temperature.Index","HV","IW","LATIN_TAXON","hc_ward","Temp_Group","HV_Group","IW_Group"
"32",32,32,32,"Onychogomphus uncatus","Go",12.778,1.1,5,"Onychogomphus uncatus","4","3","1","5"
"33",33,33,33,"Ophiogomphus cecilia","Go",7.506,1,5,"Ophiogomphus cecilia","4","1","1","5"
"34",34,34,34,"Orthetrum albistylum","Li",9.947,3,2,"Orthetrum albistylum","2","2","3","2"
"35",35,35,35,"Orthetrum brunneum","Li",11.719,1.8,3,"Orthetrum brunneum","3","3","2","3"
"36",36,36,36,"Orthetrum cancellatum","Li",10.406,2.7,2,"Orthetrum cancellatum","2","2","2","2"
"37",37,37,37,"Orthetrum coerulescens","Li",11.266,2.2,2,"Orthetrum coerulescens","3","3","2","2"
"38",38,38,38,"Oxygastra curtisii","Sy",12.218,2,4,"Oxygastra curtisii","4","3","2","4"
"39",39,39,39,"Platycnemis pennipes","Pl",9.427,1.8,2,"Platycnemis pennipes","2","2","2","2"
"40",40,40,40,"Pyrrhosoma nymphula","Co",8.815,2.5,2,"Pyrrhosoma nymphula","2","1","2","2"
"41",41,41,41,"Selysiothemis nigra","Li",15.159,3.5,3,"Selysiothemis nigra","3","4","3","3"
"42",42,42,42,"Somatochlora flavomaculata","Cd",7.769,3.6,3,"Somatochlora flavomaculata","1","1","3","3"
"43",43,43,43,"Somatochlora metallica","Cd",6.412,2.2,2,"Somatochlora metallica","2","1","2","2"
"44",44,44,44,"Stylurus flavipes","Go",9.097,1,5,"Stylurus flavipes","4","1","1","5"
"45",45,45,45,"Sympecma fusca","Le",10.848,3.4,2,"Sympecma fusca","2","2","3","2"
"46",46,46,46,"Sympecma paedisca","Le",6.787,3.5,2,"Sympecma paedisca","1","1","3","2"
"47",47,47,47,"Sympetrum depressiusculum","Li",9.04,3,3,"Sympetrum depressiusculum","2","1","3","3"
"48",48,48,48,"Sympetrum fonscolombii","Li",12.59,3.2,2,"Sympetrum fonscolombii","3","3","3","2"
"49",49,49,49,"Sympetrum meridionale","Li",11.99,4.5,3,"Sympetrum meridionale","1","3","4","3"
"50",50,50,50,"Sympetrum pedemontanum","Li",8.539,2.2,2,"Sympetrum pedemontanum","2","1","2","2"
"51",51,51,51,"Sympetrum sanguineum","Li",9.326,3.3,2,"Sympetrum sanguineum","2","2","3","2"
"52",52,52,52,"Sympetrum striolatum","Li",10.817,3.3,1,"Sympetrum striolatum","2","2","3","1"
"53",53,53,53,"Trithemis annulata","Li",15.378,2.7,2,"Trithemis annulata","3","4","2","2"
