fid,xcoord,ycoord,date_day,date_month,date_year,SPECIES,daily_text_comment_rem,layer,code,cellcode
46,7.858947513,44.13984906,13,8,2015,Libellula depressa,,export_20241130,Alpine,10kmE414N233
47,7.858947513,44.13984906,13,8,2015,Enallagma cyathigerum,,export_20241130,Alpine,10kmE414N233
48,7.858947513,44.13984906,13,8,2015,Sympetrum fonscolombei,,export_20241130,Alpine,10kmE414N233
49,7.858947513,44.13984906,13,8,2015,Crocothemis erythraea,,export_20241130,Alpine,10kmE414N233
50,7.858947513,44.13984906,13,8,2015,Enallagma cyathigerum,,export_20241130,Alpine,10kmE414N233
51,7.858947513,44.13984906,13,8,2015,Aeshna cyanea,,export_20241130,Alpine,10kmE414N233
52,7.858947513,44.13984906,13,8,2015,Aeshna juncea,,export_20241130,Alpine,10kmE414N233
53,7.858947513,44.13984906,13,8,2015,Crocothemis erythraea,,export_20241130,Alpine,10kmE414N233
54,7.858947513,44.13984906,13,8,2015,Libellula depressa,,export_20241130,Alpine,10kmE414N233
55,7.858947513,44.13984906,13,8,2015,Sympetrum fonscolombei,,export_20241130,Alpine,10kmE414N233
56,7.818390952,44.13676108,13,8,2015,Aeshna cyanea,,export_20241130,Alpine,10kmE414N233
57,7.818390952,44.13676108,13,8,2015,Libellula depressa,,export_20241130,Alpine,10kmE414N233
58,7.818390952,44.13676108,13,8,2015,Sympetrum fonscolombei,,export_20241130,Alpine,10kmE414N233
59,7.858947513,44.13984906,31,7,2016,Libellula depressa,,export_20241130,Alpine,10kmE414N233
60,7.858947513,44.13984906,31,7,2016,Enallagma cyathigerum,,export_20241130,Alpine,10kmE414N233
61,7.858947513,44.13984906,31,7,2016,Aeshna cyanea,,export_20241130,Alpine,10kmE414N233
62,7.858947513,44.13984906,31,7,2016,Aeshna juncea,,export_20241130,Alpine,10kmE414N233
63,7.818390952,44.13676108,31,7,2016,Libellula depressa,,export_20241130,Alpine,10kmE414N233
64,7.818390952,44.13676108,31,7,2016,Pyrrhosoma nymphula,,export_20241130,Alpine,10kmE414N233
65,7.818390952,44.13676108,31,7,2016,Aeshna cyanea,,export_20241130,Alpine,10kmE414N233
66,7.818390952,44.13676108,31,7,2016,Sympetrum sanguineum,,export_20241130,Alpine,10kmE414N233
67,7.818390952,44.13676108,31,7,2016,Orthetrum coerulescens,,export_20241130,Alpine,10kmE414N233
68,7.811267785,44.13287658,31,7,2016,Cordulegaster bidentata,,export_20241130,Alpine,10kmE414N233
69,7.858838,44.13998399,16,8,2019,Sympetrum fonscolombei,,export_20241130,Alpine,10kmE414N233
70,7.858838,44.13998399,16,8,2019,Aeshna cyanea,,export_20241130,Alpine,10kmE414N233
71,7.858838,44.13998399,16,8,2019,Enallagma cyathigerum,,export_20241130,Alpine,10kmE414N233
72,7.858838,44.13998399,16,8,2019,Aeshna juncea,,export_20241130,Alpine,10kmE414N233
73,7.858838,44.13998399,16,8,2019,Libellula depressa,,export_20241130,Alpine,10kmE414N233
74,7.858851,44.13985399,2,8,2020,Anax imperator,,export_20241130,Alpine,10kmE414N233
75,7.858851,44.13985399,2,8,2020,Coenagrion puella,,export_20241130,Alpine,10kmE414N233
76,7.858851,44.13985399,2,8,2020,Aeshna cyanea,,export_20241130,Alpine,10kmE414N233
77,7.858851,44.13985399,2,8,2020,Cordulegaster bidentata,,export_20241130,Alpine,10kmE414N233
78,7.858851,44.13985399,2,8,2020,Libellula depressa,,export_20241130,Alpine,10kmE414N233
79,7.858851,44.13985399,2,8,2020,Sympetrum fonscolombei,,export_20241130,Alpine,10kmE414N233
80,7.857696,44.13923999,19,6,2022,Libellula depressa,,export_20241130,Alpine,10kmE414N233
81,7.858814,44.13976799,19,6,2022,Libellula depressa,,export_20241130,Alpine,10kmE414N233
82,7.857696,44.13923999,19,6,2022,Pyrrhosoma nymphula,,export_20241130,Alpine,10kmE414N233
83,7.858814,44.13976799,19,6,2022,Enallagma cyathigerum,,export_20241130,Alpine,10kmE414N233
84,7.858787,44.13964899,19,6,2022,Coenagrion puella,,export_20241130,Alpine,10kmE414N233
85,7.858873,44.13971299,19,6,2022,Anax imperator,,export_20241130,Alpine,10kmE414N233
86,7.858814,44.13976799,19,6,2022,Sympetrum fonscolombei,,export_20241130,Alpine,10kmE414N233
87,7.858873,44.13971299,19,6,2022,Lestes sponsa,,export_20241130,Alpine,10kmE414N233
88,7.858681,44.13976199,19,6,2022,Aeshna cyanea,,export_20241130,Alpine,10kmE414N233
89,7.858081,44.13942399,19,6,2022,Libellula depressa,,export_20241130,Alpine,10kmE414N233
90,7.856996,44.13917099,19,6,2022,Libellula depressa,,export_20241130,Alpine,10kmE414N233
91,7.856684,44.13908699,19,6,2022,Libellula depressa,,export_20241130,Alpine,10kmE414N233
92,7.857768,44.13884599,19,6,2022,Libellula depressa,,export_20241130,Alpine,10kmE414N233
93,7.858738,44.13986399,19,6,2022,Enallagma cyathigerum,,export_20241130,Alpine,10kmE414N233
94,7.858756,44.13981899,19,6,2022,Sympetrum fonscolombei,,export_20241130,Alpine,10kmE414N233
95,7.858806,44.13981799,19,6,2022,Lestes sponsa,,export_20241130,Alpine,10kmE414N233
96,7.85876,44.13986999,19,6,2022,Libellula depressa,,export_20241130,Alpine,10kmE414N233
97,7.857692,44.13928499,19,6,2022,Pyrrhosoma nymphula,,export_20241130,Alpine,10kmE414N233
98,7.858642,44.13994099,19,6,2022,Coenagrion puella,,export_20241130,Alpine,10kmE414N233
99,7.858756,44.13981899,19,6,2022,Aeshna cyanea,,export_20241130,Alpine,10kmE414N233
100,7.859052,44.13978999,11,7,2022,Anax imperator,,export_20241130,Alpine,10kmE414N233
101,7.858978,44.13971399,11,7,2022,Libellula depressa,,export_20241130,Alpine,10kmE414N233
102,7.859227,44.13991699,20,6,2023,Libellula depressa,,export_20241130,Alpine,10kmE414N233
103,7.859074,44.13985999,20,6,2023,Anax imperator,,export_20241130,Alpine,10kmE414N233
104,7.858984,44.13990999,25,6,2023,Libellula depressa,,export_20241130,Alpine,10kmE414N233
105,7.858539,44.13982699,25,6,2023,Orthetrum brunneum,,export_20241130,Alpine,10kmE414N233
106,7.858539,44.13982699,25,6,2023,Sympetrum fonscolombei,,export_20241130,Alpine,10kmE414N233
107,7.858704,44.13996699,25,6,2023,Aeshna cyanea,,export_20241130,Alpine,10kmE414N233
108,7.858713,44.13998599,25,6,2023,Crocothemis erythraea,,export_20241130,Alpine,10kmE414N233
109,7.858993,44.13991799,25,6,2023,Platycnemis pennipes,,export_20241130,Alpine,10kmE414N233
110,7.858993,44.13991799,25,6,2023,Anax imperator,,export_20241130,Alpine,10kmE414N233
111,7.858608,44.13971799,25,6,2023,Sympetrum sanguineum,,export_20241130,Alpine,10kmE414N233
112,7.858906,44.13988199,25,6,2023,Aeshna cyanea,,export_20241130,Alpine,10kmE414N233
113,7.85897,44.13995599,25,6,2023,Coenagrion puella,,export_20241130,Alpine,10kmE414N233
114,7.857471,44.13935099,25,6,2023,Anax imperator,,export_20241130,Alpine,10kmE414N233
115,7.857578,44.13932499,25,6,2023,Libellula depressa,,export_20241130,Alpine,10kmE414N233
116,7.857351,44.13900299,25,6,2023,Pyrrhosoma nymphula,,export_20241130,Alpine,10kmE414N233
117,7.857578,44.13932499,25,6,2023,Aeshna cyanea,,export_20241130,Alpine,10kmE414N233
118,7.857578,44.13932499,25,6,2023,Coenagrion puella,,export_20241130,Alpine,10kmE414N233
119,7.858911,44.13981699,25,6,2023,Platycnemis pennipes,,export_20241130,Alpine,10kmE414N233
120,7.858907,44.13991099,25,6,2023,Coenagrion puella,,export_20241130,Alpine,10kmE414N233
121,7.858893,44.13988399,25,6,2023,Sympetrum fonscolombei,,export_20241130,Alpine,10kmE414N233
122,7.857536,44.13919799,25,6,2023,Libellula depressa,,export_20241130,Alpine,10kmE414N233
123,7.857547,44.13919699,25,6,2023,Pyrrhosoma nymphula,,export_20241130,Alpine,10kmE414N233
124,7.857706,44.13921199,25,6,2023,Anax imperator,,export_20241130,Alpine,10kmE414N233
125,7.857562,44.13919599,25,6,2023,Coenagrion puella,,export_20241130,Alpine,10kmE414N233
126,7.857706,44.13921199,25,6,2023,Coenagrion puella,,export_20241130,Alpine,10kmE414N233
127,7.862668,44.13921299,25,6,2023,Libellula depressa,,export_20241130,Alpine,10kmE414N233
128,7.858829,44.13988399,25,6,2023,Libellula depressa,,export_20241130,Alpine,10kmE414N233
129,7.858765,44.13990699,25,6,2023,Sympetrum fonscolombei,,export_20241130,Alpine,10kmE414N233
130,7.858712,44.13996999,25,6,2023,Orthetrum brunneum,,export_20241130,Alpine,10kmE414N233
131,7.85899,44.13993299,25,6,2023,Crocothemis erythraea,,export_20241130,Alpine,10kmE414N233
132,7.858768,44.13987599,25,6,2023,Enallagma cyathigerum,,export_20241130,Alpine,10kmE414N233
133,7.858998,44.13992899,25,6,2023,Orthetrum brunneum,,export_20241130,Alpine,10kmE414N233
134,7.859132,44.13989699,25,6,2023,Platycnemis pennipes,,export_20241130,Alpine,10kmE414N233
135,7.857538,44.13919799,25,6,2023,Pyrrhosoma nymphula,,export_20241130,Alpine,10kmE414N233
136,7.858856322,44.13997685,20,8,2006,Aeshna cyanea,,rimappato20230915,Alpine,10kmE414N233
137,7.858856322,44.13997685,20,8,2006,Aeshna juncea,,rimappato20230915,Alpine,10kmE414N233
138,7.858856322,44.13997685,20,8,2006,Enallagma cyathigerum,,rimappato20230915,Alpine,10kmE414N233
139,7.91376,44.13707999,22,7,2014,Aeshna cyanea,,export_20241130,Alpine,10kmE415N233
140,7.869802852,44.11863093,28,9,2007,Sympetrum fonscolombii,,rimappato20230915,Alpine,10kmE415N233
141,7.893494714,44.12285132,21,9,2007,Sympetrum fonscolombii,,rimappato20230915,Alpine,10kmE415N233
142,7.992707,44.11872199,20,6,2019,Enallagma cyathigerum,,export_20241130,Mediterranean,10kmE415N233
143,7.992707,44.11872199,20,6,2019,Libellula depressa,,export_20241130,Mediterranean,10kmE415N233
144,7.992091527,44.11724543,3,8,2006,Libellula depressa,,rimappato20230915,Mediterranean,10kmE415N233
145,7.992091527,44.11724543,3,8,2006,Chalcolestes viridis,,rimappato20230915,Mediterranean,10kmE415N233
146,7.992091527,44.11724543,3,8,2006,Sympetrum fonscolombii,,rimappato20230915,Mediterranean,10kmE415N233
147,7.992091527,44.11724543,3,8,2006,Sympetrum striolatum,,rimappato20230915,Mediterranean,10kmE415N233
148,7.992091527,44.11724543,3,8,2006,Enallagma cyathigerum,,rimappato20230915,Mediterranean,10kmE415N233
149,7.992091527,44.11724543,3,8,2006,Aeshna cyanea,,rimappato20230915,Mediterranean,10kmE415N233
150,7.992091527,44.11724543,3,8,2006,Anax imperator,,rimappato20230915,Mediterranean,10kmE415N233
151,7.992091527,44.11724543,1,6,1999,Libellula depressa,,rimappato20230915,Mediterranean,10kmE415N233
152,7.992091527,44.11724543,1,6,1999,Enallagma cyathigerum,,rimappato20230915,Mediterranean,10kmE415N233
153,7.992091527,44.11724543,1,6,1999,Enallagma cyathigerum,,rimappato20230915,Mediterranean,10kmE415N233
154,7.992091527,44.11724543,1,6,1999,Enallagma cyathigerum,,rimappato20230915,Mediterranean,10kmE415N233
155,7.992091527,44.11724543,1,6,1999,Enallagma cyathigerum,,rimappato20230915,Mediterranean,10kmE415N233
156,7.992091527,44.11724543,1,6,1999,Enallagma cyathigerum,,rimappato20230915,Mediterranean,10kmE415N233
157,7.992091527,44.11724543,1,6,1999,Enallagma cyathigerum,,rimappato20230915,Mediterranean,10kmE415N233
158,7.992091527,44.11724543,1,6,1999,Enallagma cyathigerum,,rimappato20230915,Mediterranean,10kmE415N233
159,7.992091527,44.11724543,23,7,2010,Enallagma cyathigerum,,rimappato20230915,Mediterranean,10kmE415N233
160,7.992091527,44.11724543,23,7,2010,Chalcolestes viridis,,rimappato20230915,Mediterranean,10kmE415N233
161,7.992091527,44.11724543,23,7,2010,Orthetrum brunneum,,rimappato20230915,Mediterranean,10kmE415N233
162,7.985454064,44.12973723,23,7,2010,Libellula depressa,,rimappato20230915,Mediterranean,10kmE415N233
163,7.985454064,44.12973723,23,7,2010,Anax imperator,,rimappato20230915,Mediterranean,10kmE415N233
164,7.985454064,44.12973723,23,7,2010,Aeshna cyanea,,rimappato20230915,Mediterranean,10kmE415N233
165,7.985454064,44.12973723,23,7,2010,Crocothemis erythraea,,rimappato20230915,Mediterranean,10kmE415N233
166,7.985454064,44.12973723,23,7,2010,Sympetrum striolatum,,rimappato20230915,Mediterranean,10kmE415N233
167,7.985454064,44.12973723,23,7,2010,Coenagrion puella,,rimappato20230915,Mediterranean,10kmE415N233
168,7.985454064,44.12973723,23,7,2010,Chalcolestes viridis,,rimappato20230915,Mediterranean,10kmE415N233
169,7.985454064,44.12973723,23,7,2010,Orthetrum brunneum,,rimappato20230915,Mediterranean,10kmE415N233
170,7.985454064,44.12973723,23,7,2010,Enallagma cyathigerum,,rimappato20230915,Mediterranean,10kmE415N233
171,7.992825312,44.11892651,13,8,2011,Aeshna cyanea,,rimappato20230915,Mediterranean,10kmE415N233
172,7.992825312,44.11892651,13,8,2011,Sympetrum striolatum,,rimappato20230915,Mediterranean,10kmE415N233
173,7.992825312,44.11892651,13,8,2011,Sympetrum fonscolombii,,rimappato20230915,Mediterranean,10kmE415N233
174,7.992825312,44.11892651,13,8,2011,Coenagrion puella,,rimappato20230915,Mediterranean,10kmE415N233
175,7.992825312,44.11892651,13,8,2011,Enallagma cyathigerum,,rimappato20230915,Mediterranean,10kmE415N233
176,7.992825312,44.11892651,13,8,2011,Ischnura elegans,,rimappato20230915,Mediterranean,10kmE415N233
177,7.992825312,44.11892651,13,8,2011,Chalcolestes viridis,,rimappato20230915,Mediterranean,10kmE415N233
178,7.985441566,44.12973712,23,7,2010,Libellula depressa,,rimappato20230915,Mediterranean,10kmE415N233
179,7.985441566,44.12973712,23,7,2010,Anax imperator,,rimappato20230915,Mediterranean,10kmE415N233
180,7.985441566,44.12973712,23,7,2010,Aeshna cyanea,,rimappato20230915,Mediterranean,10kmE415N233
181,7.985441566,44.12973712,23,7,2010,Crocothemis erythraea,,rimappato20230915,Mediterranean,10kmE415N233
182,7.985441566,44.12973712,23,7,2010,Sympetrum striolatum,,rimappato20230915,Mediterranean,10kmE415N233
183,7.985441566,44.12973712,23,7,2010,Coenagrion puella,,rimappato20230915,Mediterranean,10kmE415N233
184,7.985441566,44.12973712,23,7,2010,Chalcolestes viridis,,rimappato20230915,Mediterranean,10kmE415N233
185,7.985441566,44.12973712,23,7,2010,Orthetrum brunneum,,rimappato20230915,Mediterranean,10kmE415N233
186,7.985441566,44.12973712,23,7,2010,Enallagma cyathigerum,,rimappato20230915,Mediterranean,10kmE415N233
187,7.992864065,44.11886023,13,8,2011,Aeshna cyanea,,export_20241130,Mediterranean,10kmE416N233
188,7.992864065,44.11886023,13,8,2011,Sympetrum striolatum,,export_20241130,Mediterranean,10kmE416N233
189,7.992864065,44.11886023,13,8,2011,Sympetrum fonscolombei,,export_20241130,Mediterranean,10kmE416N233
190,7.992864065,44.11886023,13,8,2011,Coenagrion puella,,export_20241130,Mediterranean,10kmE416N233
191,7.992864065,44.11886023,13,8,2011,Enallagma cyathigerum,,export_20241130,Mediterranean,10kmE416N233
192,7.992864065,44.11886023,13,8,2011,Ischnura elegans,,export_20241130,Mediterranean,10kmE416N233
193,7.992864065,44.11886023,13,8,2011,Lestes viridis,,export_20241130,Mediterranean,10kmE416N233
194,7.992864065,44.11886023,2,6,2013,Libellula quadrimaculata,,export_20241130,Mediterranean,10kmE416N233
195,7.992864065,44.11886023,2,6,2013,Libellula depressa,,export_20241130,Mediterranean,10kmE416N233
196,7.992864065,44.11886023,2,6,2013,Coenagrion puella,,export_20241130,Mediterranean,10kmE416N233
197,7.992864065,44.11886023,24,10,2014,Aeshna cyanea,,export_20241130,Mediterranean,10kmE416N233
198,7.992864065,44.11886023,24,10,2014,Sympetrum striolatum,,export_20241130,Mediterranean,10kmE416N233
199,7.992864065,44.11886023,24,10,2014,Lestes viridis,,export_20241130,Mediterranean,10kmE416N233
200,7.992864065,44.11886023,1,10,2017,Aeshna cyanea,,export_20241130,Mediterranean,10kmE416N233
201,8.003282,44.10773299,14,6,2022,Anax imperator,,export_20241130,Mediterranean,10kmE416N233
202,7.105527803,44.21924074,29,8,2012,Sympetrum fonscolombii,,rimappato20230915,Alpine,10kmE408N234
203,7.144084386,44.21198338,23,7,2011,Aeshna juncea,,export_20241130,Alpine,10kmE409N234
204,7.144084386,44.21198338,11,8,2011,Aeshna juncea,,export_20241130,Alpine,10kmE409N234
205,7.189128333,44.19884165,19,8,2011,Aeshna juncea,,export_20241130,Alpine,10kmE409N234
206,7.191639862,44.19840826,19,8,2011,Sympetrum meridionale,,export_20241130,Alpine,10kmE409N234
207,7.191639862,44.19840826,19,8,2011,Aeshna juncea,,export_20241130,Alpine,10kmE409N234
208,7.144084386,44.21198338,27,7,2012,Aeshna juncea,,export_20241130,Alpine,10kmE409N234
209,7.144084386,44.21198338,5,8,2013,Aeshna juncea,,export_20241130,Alpine,10kmE409N234
210,7.144084386,44.21198338,5,8,2013,Somatochlora alpestris,,export_20241130,Alpine,10kmE409N234
211,7.238132583,44.19974318,25,8,2013,Aeshna juncea,,export_20241130,Alpine,10kmE409N234
212,7.238132583,44.19974318,25,8,2013,Sympetrum fonscolombei,,export_20241130,Alpine,10kmE409N234
213,7.153834156,44.20680643,7,9,2013,Aeshna juncea,,export_20241130,Alpine,10kmE409N234
214,7.238132583,44.19974318,5,8,2014,Aeshna juncea,,export_20241130,Alpine,10kmE409N234
215,7.238132583,44.19974318,5,8,2014,Sympetrum fonscolombei,,export_20241130,Alpine,10kmE409N234
216,7.153834156,44.20680643,12,8,2014,Aeshna cyanea,,export_20241130,Alpine,10kmE409N234
217,7.153834156,44.20680643,12,8,2014,Aeshna juncea,,export_20241130,Alpine,10kmE409N234
218,7.153834156,44.20680643,12,8,2014,Somatochlora alpestris,,export_20241130,Alpine,10kmE409N234
219,7.153834156,44.20680643,12,8,2014,Libellula depressa,,export_20241130,Alpine,10kmE409N234
220,7.238132583,44.19974318,18,8,2014,Aeshna juncea,,export_20241130,Alpine,10kmE409N234
221,7.238132583,44.19974318,18,8,2014,Pyrrhosoma nymphula,,export_20241130,Alpine,10kmE409N234
222,7.238132583,44.19974318,18,8,2014,Sympetrum fonscolombei,,export_20241130,Alpine,10kmE409N234
223,7.238132583,44.19974318,18,8,2014,Anax parthenope,,export_20241130,Alpine,10kmE409N234
224,7.238132583,44.19974318,18,8,2014,Anax ephippiger,,export_20241130,Alpine,10kmE409N234
225,7.144084386,44.21198338,19,8,2014,Aeshna juncea,,export_20241130,Alpine,10kmE409N234
226,7.144084386,44.21198338,19,8,2014,Sympetrum flaveolum,,export_20241130,Alpine,10kmE409N234
227,7.144084386,44.21198338,19,8,2014,Sympetrum fonscolombei,,export_20241130,Alpine,10kmE409N234
228,7.144084386,44.21198338,27,9,2014,Sympetrum sp.,,export_20241130,Alpine,10kmE409N234
229,7.144084386,44.21198338,27,9,2014,Aeshna juncea,,export_20241130,Alpine,10kmE409N234
230,7.144084386,44.21198338,5,7,2015,Somatochlora alpestris,,export_20241130,Alpine,10kmE409N234
231,7.144084386,44.21198338,5,7,2015,Libellula quadrimaculata,,export_20241130,Alpine,10kmE409N234
232,7.141694197,44.21324898,5,7,2015,Somatochlora alpestris,,export_20241130,Alpine,10kmE409N234
233,7.142896607,44.21152278,5,7,2015,Somatochlora alpestris,,export_20241130,Alpine,10kmE409N234
234,7.240151165,44.20076657,9,7,2015,Aeshna juncea,,export_20241130,Alpine,10kmE409N234
235,7.240151165,44.20076657,9,7,2015,Somatochlora alpestris,,export_20241130,Alpine,10kmE409N234
236,7.240151165,44.20076657,9,7,2015,Libellula depressa,,export_20241130,Alpine,10kmE409N234
237,7.238200858,44.20017108,9,7,2015,Aeshna juncea,,export_20241130,Alpine,10kmE409N234
238,7.238200858,44.20017108,9,7,2015,Libellula depressa,,export_20241130,Alpine,10kmE409N234
239,7.23680923,44.19900276,9,7,2015,Pyrrhosoma nymphula,,export_20241130,Alpine,10kmE409N234
240,7.23680923,44.19900276,9,7,2015,Aeshna juncea,,export_20241130,Alpine,10kmE409N234
241,7.23680923,44.19900276,9,7,2015,Libellula depressa,,export_20241130,Alpine,10kmE409N234
242,7.227883619,44.19515312,9,7,2015,Aeshna juncea,,export_20241130,Alpine,10kmE409N234
243,7.227883619,44.19515312,9,7,2015,Somatochlora alpestris,,export_20241130,Alpine,10kmE409N234
244,7.197320871,44.21155273,12,7,2015,Pyrrhosoma nymphula,,export_20241130,Alpine,10kmE409N234
245,7.144084386,44.21198338,25,7,2015,Somatochlora alpestris,,export_20241130,Alpine,10kmE409N234
246,7.144084386,44.21198338,25,7,2015,Aeshna juncea,,export_20241130,Alpine,10kmE409N234
247,7.144084386,44.21198338,25,7,2015,Sympetrum fonscolombei,,export_20241130,Alpine,10kmE409N234
248,7.238132583,44.19974318,28,7,2015,Aeshna juncea,,export_20241130,Alpine,10kmE409N234
249,7.238132583,44.19974318,28,7,2015,Sympetrum fonscolombei,,export_20241130,Alpine,10kmE409N234
250,7.222786069,44.19073859,28,7,2015,Sympetrum fonscolombei,,export_20241130,Alpine,10kmE409N234
251,7.216656934,44.19880166,28,7,2015,Sympetrum fonscolombei,,export_20241130,Alpine,10kmE409N234
252,7.211157572,44.19073131,28,7,2015,Sympetrum fonscolombei,,export_20241130,Alpine,10kmE409N234
253,7.204148334,44.19860564,28,7,2015,Sympetrum fonscolombei,,export_20241130,Alpine,10kmE409N234
254,7.240043096,44.20058562,6,8,2015,Somatochlora alpestris,,export_20241130,Alpine,10kmE409N234
255,7.240043096,44.20058562,6,8,2015,Aeshna juncea,,export_20241130,Alpine,10kmE409N234
256,7.240043096,44.20058562,6,8,2015,Sympetrum fonscolombei,,export_20241130,Alpine,10kmE409N234
257,7.23862767,44.20015124,6,8,2015,Sympetrum fonscolombei,,export_20241130,Alpine,10kmE409N234
258,7.236396852,44.19873233,6,8,2015,Aeshna juncea,,export_20241130,Alpine,10kmE409N234
259,7.236396852,44.19873233,6,8,2015,Sympetrum fonscolombei,,export_20241130,Alpine,10kmE409N234
260,7.234723934,44.19771336,6,8,2015,Aeshna juncea,,export_20241130,Alpine,10kmE409N234
261,7.234723934,44.19771336,6,8,2015,Libellula depressa,,export_20241130,Alpine,10kmE409N234
262,7.227655192,44.19501385,6,8,2015,Aeshna juncea,,export_20241130,Alpine,10kmE409N234
263,7.227655192,44.19501385,6,8,2015,Somatochlora alpestris,,export_20241130,Alpine,10kmE409N234
264,7.227655192,44.19501385,6,8,2015,Sympetrum fonscolombei,,export_20241130,Alpine,10kmE409N234
265,7.230488385,44.19679478,6,8,2015,Anax parthenope,,export_20241130,Alpine,10kmE409N234
266,7.210233903,44.19866432,16,7,2016,Pyrrhosoma nymphula,,export_20241130,Alpine,10kmE409N234
267,7.238132583,44.19974318,16,7,2016,Aeshna juncea,,export_20241130,Alpine,10kmE409N234
